Authors,Year,Title,Journal,PMID,PMCID
"Cabulong RB, Valdehuesa KNG, Banares AB, Ramos KRM, Nisola GM, Lee WK, Chung WJ",2019,Improved cell growth and biosynthesis of glycolic acid by overexpression of membrane-bound pyridine nucleotide transhydrogenase.,J Ind Microbiol Biotechnol 46(2);159-169,30554290,
"Graf SS, Hong S, Muller P, Gennis R, von Ballmoos C",2021,Energy transfer between the nicotinamide nucleotide transhydrogenase and ATP synthase of Escherichia coli.,Sci Rep 11(1);21234,34707181,PMC8551311
"Homyk M, Bragg PD",1979,"Steady-state kinetics and the inactivation by 2,3-butanedione of the energy-independent transhydrogenase of Escherichia coli cell membranes.",Biochim Biophys Acta 571(2);201-17,389287,
Jackson JB,1991,The proton-translocating nicotinamide adenine dinucleotide transhydrogenase.,J Bioenerg Biomembr 23(5);715-41,1660871,
"Glavas NA, Hou C, Bragg PD",1995,Organization in the membrane of the N-terminal proton-translocating domain of the beta subunit of the pyridine nucleotide transhydrogenase of Escherichia coli.,Biochem Biophys Res Commun 214(1);230-8,7669043,
"Bragg PD, Hou C",1996,The role of conserved histidine residues in the pyridine nucleotide transhydrogenase of Escherichia coli.,Eur J Biochem 241(2);611-8,8917463,
"Jan J, Martinez I, Wang Y, Bennett GN, San KY",2013,Metabolic engineering and transhydrogenase effects on NADPH availability in Escherichia coli.,Biotechnol Prog 29(5);1124-30,23794523,
"Feist AM, Henry CS, Reed JL, Krummenacker M, Joyce AR, Karp PD, Broadbelt LJ, Hatzimanikatis V, Palsson BO",2007,A genome-scale metabolic reconstruction for Escherichia coli K-12 MG1655 that accounts for 1260 ORFs and thermodynamic information.,Mol Syst Biol 3;121,17593909,PMC1911197
"Bragg PD, Hou C",1998,Effect of truncation and mutation of the carboxyl-terminal region of the beta subunit on membrane assembly and activity of the pyridine nucleotide transhydrogenase of Escherichia coli.,Biochim Biophys Acta 1365(3);464-72,9711299,
"Bizouarn T, van Boxel GI, Bhakta T, Jackson JB",2005,Nucleotide binding affinities of the intact proton-translocating transhydrogenase from Escherichia coli.,Biochim Biophys Acta 1708(3);404-10,15935988,
"Yamaguchi M, Hatefi Y",1995,Proton-translocating nicotinamide nucleotide transhydrogenase of Escherichia coli. Involvement of aspartate 213 in the membrane-intercalating domain of the beta subunit in energy transduction.,J Biol Chem 270(28);16653-9,7622474,
"Clarke DM, Bragg PD",1985,Purification and properties of reconstitutively active nicotinamide nucleotide transhydrogenase of Escherichia coli.,Eur J Biochem 149(3);517-23,3891338,
"Haverkorn van Rijsewijk BR, Kochanowski K, Heinemann M, Sauer U",2016,Distinct transcriptional regulation of the two Escherichia coli transhydrogenases PntAB and UdhA.,Microbiology 162(9);1672-1679,27488847,
"Bizouarn T, Fjellstrom O, Axelsson M, Korneenko TV, Pestov NB, Ivanova MV, Egorov MV, Shakhparonov M, Rydstrom J",2000,Interactions between the soluble domain I of nicotinamide nucleotide transhydrogenase from Rhodospirillum rubrum and transhydrogenase from Escherichia coli. Effects on catalytic and H+-pumping activities.,Eur J Biochem 267(11);3281-8,10824114,
Jackson JB,2012,A review of the binding-change mechanism for proton-translocating transhydrogenase.,Biochim Biophys Acta 1817(10);1839-46,22538293,
"Gerdes SY, Scholle MD, Campbell JW, Balazsi G, Ravasz E, Daugherty MD, Somera AL, Kyrpides NC, Anderson I, Gelfand MS, Bhattacharya A, Kapatral V, D'Souza M, Baev MV, Grechkin Y, Mseeh F, Fonstein MY, Overbeek R, Barabasi AL, Oltvai ZN, Osterman AL",2003,Experimental determination and system level analysis of essential genes in Escherichia coli MG1655.,J Bacteriol 185(19);5673-84,13129938,PMC193955
"Hutton M, Day JM, Bizouarn T, Jackson JB",1994,Kinetic resolution of the reaction catalysed by proton-translocating transhydrogenase from Escherichia coli as revealed by experiments with analogues of the nucleotide substrates.,Eur J Biochem 219(3);1041-51,8112317,
"Sedgwick EG, Meuller J, Hou C, Rydstrom J, Bragg PD",1997,Cross-linking and N-(1-pyrenyl)maleimide labeling of cysteine mutants of proton-pumping pyridine nucleotide transhydrogenase of Escherichia coli.,Biochemistry 36(49);15285-93,9398257,
"Stilwell SN, Bizouarn T, Jackson JB",1997,"The reduction of acetylpyridine adenine dinucleotide by NADH: is it a significant reaction of proton-translocating transhydrogenase, or an artefact?.",Biochim Biophys Acta 1320(1);83-94,9186780,
"Hou C, Potier M, Bragg PD",1990,Crosslinking and radiation inactivation analysis of the subunit structure of the pyridine nucleotide transhydrogenase of Escherichia coli.,Biochim Biophys Acta 1018(1);61-6,2198073,
"Lopez-Campistrous A, Semchuk P, Burke L, Palmer-Stone T, Brokx SJ, Broderick G, Bottorff D, Bolch S, Weiner JH, Ellison MJ",2005,"Localization, annotation, and comparison of the Escherichia coli K-12 proteome under two states of growth.",Mol Cell Proteomics 4(8);1205-9,15911532,
